Name,Country,Start year,End year,Proven victims,Possible victims,Notes
"""Rainbow Maniac""",Brazil,2007.0,2008.0,13.0,13.0,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba."
Li Wenxiang,China,1991.0,1996.0,13.0,13.0,"Known as ""The Guangzhou Ripper"". Killed 13 female sex workers in Guangzhou. Executed."
Adolf Seefeldt,Germany,1908.0,1935.0,12.0,100.0,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total. Executed by guillotine in 1936."
José Manuel Martínez,United States,1978.0,2013.0,12.0,36.0,"Mexican-American self-confessed hitman who admitted to committing 36 murders in twelve different states, sometimes on the orders of his cartel bosses and sometimes out of personal animosity. Ultimately convicted or pleaded guilty to a total of twelve murders in three different states."
Charles Sobhraj,"Thailand, Nepal, India, Malaysia",1975.0,1976.0,12.0,30.0,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and sentenced to life imprisonment in Nepal in 2004. He was released from prison in Nepal in 2022."
Slamet Tohari,Indonesia,2020.0,2023.0,12.0,24.0,"Swindler who was convicted of 12 murders by cyanide poisoning committed in Central Java between 2020 and 2023. He confessed to ""dozens"" of murders. Sentenced to death in 2024."
Vladimir Romanov,"Soviet Union, Russia",1991.0,2005.0,12.0,20.0,"Known as the ""Kaliningrad Maniac""; a child rapist who murdered girls and young women in the Kaliningrad Oblast; killed himself while imprisoned."
Maury Travis,United States,2000.0,2002.0,12.0,17.0,Killed sex workers in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Killed himself by hanging in prison.
Dennis Nilsen,United Kingdom,1978.0,1983.0,12.0,15.0,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018."
Kenneth Bianchi,United States,1977.0,1978.0,12.0,15.0,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life."
Enriqueta Martí,Spain,,1912.0,12.0,12.0,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow inmates while awaiting trial in 1913. Recent investigations by writer Jordi Corominas and historian Elsa Plaza question the popular version of the black legend of Enriqueta Martí and warned about multiples misinformation, because Enriqueta ""was never formally charged with murder nor was any corpse of a child found in her home."""
Abdallah al-Hubal,Yemen,1990.0,1998.0,12.0,12.0,"Killed seven people after Yemeni unification; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police."
Nikolai Shestakov,Soviet Union,1975.0,1984.0,12.0,12.0,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977."
Joseph Christopher,United States,1980.0,1981.0,12.0,12.0,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer."
"""Paraquat murders"" killer",Japan,1985.0,1994.0,12.0,12.0,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.
Siswanto,Indonesia,1994.0,1996.0,12.0,12.0,"Alias Robot Gedek. Homeless man that killed 12 boys. Sentenced to death on May 21, 1997. Died in prison on March 26, 2007."
Sergey Golovkin,"Soviet Union, Russia",1986.0,1992.0,11.0,40.0,Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1996; last person executed in Russia before the death penalty was abolished.
Tiago Henrique Gomes da Rocha,Brazil,2011.0,2014.0,11.0,39.0,"Gomes da Rocha was a Brazilian security guard who confessed to the murders of 39 people. He was sentenced to 25 years in prison for 11 murders, and attempted suicide while incarcerated."
Herb Baumeister,United States,1990.0,1996.0,11.0,23.0,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Died after shooting himself when faced with arrest.
Zhang Yongming,China,2008.0,2012.0,11.0,18.0,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.
Jack Unterweger,"Austria, United States, Czechoslovakia",1974.0,1992.0,11.0,15.0,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine sex workers after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three sex workers. Hanged himself in 1994 after being sentenced to life in prison."
Vaughn Greenwood,United States,1964.0,1975.0,11.0,13.0,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drunk their blood. Sentenced to imprisonment for life."
Anthony Sowell,United States,2007.0,2009.0,11.0,11.0,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death."
Henri Désiré Landru,France,1915.0,1919.0,11.0,11.0,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922."
Nannie Doss,United States,1927.0,1954.0,11.0,11.0,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59."
Marie Alexandrine Becker,Belgium,1933.0,1936.0,11.0,11.0,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.
Seisaku Nakamura,Japan,1938.0,1942.0,11.0,11.0,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging."
Robledo Puch,Argentina,1971.0,1980.0,11.0,11.0,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.
Clifford Olson,Canada,1980.0,1981.0,11.0,11.0,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011."
Francisco García Escalero,Spain,1987.0,1994.0,11.0,11.0,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 sex workers and other homeless people between 1987 and 1994. Died in 2014."
Henry Louis Wallace,United States,1990.0,1994.0,11.0,11.0,"Murdered 11 black women in Charlotte, North Carolina. The victims were all women that he knew."
Benjamin Atkins,United States,1991.0,1992.0,11.0,11.0,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS."
Adnan Çolak,Turkey,1992.0,1995.0,11.0,11.0,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.
Andre Crawford,United States,1993.0,1999.0,11.0,11.0,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.
Francisco de Assis Pereira,Brazil,1997.0,1998.0,11.0,11.0,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years."
Barnaul Maniac,Russia,1997.0,2000.0,11.0,11.0,The Barnaul Maniac was an unidentified Russian serial killer who murdered nine women and two girls in the city of Barnaul and the village of Buranovo. The main suspect was arrested in October 2000 but killed himself in jail in November that year.
Gao Chengyong,China,1998.0,2002.0,11.0,11.0,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses. Executed in 2019."
Yevgeny Petrov,Russia,1998.0,2003.0,11.0,11.0,"Known as the ""Novouralsk Ripper""; a child rapist who kidnapped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment."
Ruslan Khamarov,Ukraine,2000.0,2003.0,11.0,11.0,"Seduced, raped and then killed women in his home; sentenced to life imprisonment."
West Mesa Killer,United States,2003.0,2005.0,11.0,11.0,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector."
Very Idham Henyansyah,Indonesia,2006.0,2008.0,11.0,11.0,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death."
Roshu Kha,Bangladesh,2008.0,2017.0,11.0,11.0,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.
Martin Lecián,Czechoslovakia,1927.0,1936.0,11.0,11.0,Responsible for killing 10 policemen and 1 prison officer. Executed in 1927.
Lonnie David Franklin Jr.,United States,1985.0,2007.0,10.0,25.0,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death. On March 28, 2020, Franklin was found dead in his cell."
Rudolf Pleil,West Germany,1946.0,1947.0,10.0,25.0,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25. Killed himself by hanging in 1958."
Milton Johnson,United States,1983.0,1992.0,10.0,17.0,"Known as ""The Weekend Murderer"" killed up to 17 people. Sentenced to life without parole."
Long Island serial killer,United States,1996.0,2010.0,10.0,16.0,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years."
Daniel Lee Siebert,United States,1979.0,1986.0,10.0,13.0,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.
Sergey Cherny,Russia,1999.0,2008.0,10.0,11.0,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.
Jeanne Weber,France,1905.0,1908.0,10.0,10.0,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.
Nikolai Dzhumagaliev,Soviet Union,1979.0,1991.0,10.0,10.0,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.
Bobby Joe Long,United States,1984.0,1993.0,10.0,10.0,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019."
Stewart Wilken,South Africa,1990.0,1997.0,10.0,10.0,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990 to 1997. Sentenced to seven life terms."
Viktor Fokin,Russia,1996.0,2000.0,10.0,10.0,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered sex workers and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony."
David Randitsheni,South Africa,2004.0,2008.0,10.0,10.0,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction."
Edmund Kemper,United States,1964.0,1973.0,10.0,10.0,"Known as ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life."
Dennis Rader,United States,1974.0,2004.0,10.0,10.0,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years."
Stanislav Rogolev,Soviet Union,1980.0,1982.0,10.0,10.0,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984."
Oleg Kuznetsov,"Soviet Union, Russia, Ukraine",1991.0,1992.0,10.0,10.0,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment."
Satish,India,1995.0,1998.0,10.0,10.0,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police."
Eduard Shemyakov,Russia,1996.0,1998.0,10.0,10.0,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment."
Ali Kaya,Turkey,1997.0,2006.0,10.0,10.0,"Known as ""The Baby Faced Killer""; responsible for 10 murders. Escaped from prison and later recaptured."
Chen Yongfeng,China,2003.0,2012.0,10.0,10.0,"Known as ""The Butcher""; killed and dismembered 10 people at his house in the city of Wenzhou in the Zhejiang province within the span of a few months."
Zhou Kehua,China,2004.0,2012.0,10.0,10.0,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt."
Kang Ho-sun,South Korea,2006.0,2008.0,10.0,10.0,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law."
Masten Wanjala,Kenya,2015.0,2021.0,10.0,10.0,"Described as a ""bloodthirsty vampire""; confessed to killing and drinking the blood of multiple children in Nairobi and led police to the bodies of some of the victims. Wanjala escaped from police custody while awaiting trial, but was later found in Bungoma County and murdered by angry locals."
Louis van Schoor,South Africa,1986.0,1989.0,9.0,100.0,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004."
Peter Kürten,"German Empire, Germany",1913.0,1930.0,9.0,79.0,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931."
Roger Dale Stafford,United States,1974.0,1978.0,9.0,34.0,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995."
Norman Afzal Simons,South Africa,1986.0,1994.0,9.0,22.0,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life."
Francis Heaulme,France,1984.0,1992.0,9.0,20.0,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went."
Joel Rifkin,United States,1989.0,1993.0,9.0,17.0,"Known as ""The Drifter"", killed sex workers in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life."
Dagmar Overbye,Denmark,1913.0,1920.0,9.0,15.0,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929."
Kenneth McDuff,United States,1966.0,1992.0,9.0,14.0,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998."
Robert Joseph Silveria Jr.,United States,1981.0,1996.0,9.0,14.0,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more."
Dr. No,United States,1981.0,1990.0,9.0,12.0,"Supposedly murdered sex workers and exotic dancers; his first victim was Marcia King, who was identified in 2018."
Richard Biegenwald,United States,1958.0,1983.0,9.0,11.0,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008."
New Bedford Highway Killer,United States,1988.0,1989.0,9.0,11.0,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.
Alexander Bychkov,Russia,2009.0,2012.0,9.0,11.0,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.
Maryvale serial shooter,United States,2015.0,2016.0,9.0,11.0,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017."
Edgecombe County Serial Killer,United States,2000.0,,9.0,10.0,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case."
Sergei Martynov,Russia,1992.0,2010.0,9.0,9.0,Convicted of raping and murdering a woman in 1992. Sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010.
Lloyd Gomez,United States,1950.0,1951.0,9.0,9.0,"Known as ""The Phantom Hobo Killer""; homeless man who killed other homeless men across California in the early 1950s."
Timothy Krajcir,United States,2000.0,,9.0,9.0,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s."
Anatoly Utkin,Soviet Union,1968.0,1973.0,9.0,9.0,"Known as ""Ulyanovsky maniac""; killed 8 girls and 1 man from 1968 to 1973; executed 1975."
Gilberto Chamba,"Ecuador, Spain",1988.0,2004.0,9.0,9.0,"Taxi driver known as ""The Monster of Machala"", between 1988 and 1993 abducted 10 of his passengers (all lone female students) in this Ecuadorian city and killed 8, often raping them after with a stick. Though sentenced to 16 years in prison, he benefitted from an amnesty campaign in 2000 that also cleared his criminal record and moved to Spain, where he was arrested for the rape and murder of another student and the attempted rape and murder of a prostitute in 2004. Sentenced in 2005 to 45 years in prison."
Ondrej Rigo,"Czechoslovakia, Germany, Netherlands",1990.0,1992.0,9.0,9.0,"Slovak serial killer and necrophile who committed his murders during the early 1990s in Slovakia, Germany and the Netherlands. He was arrested in 1992 and received a life sentence in 1994. He remains the murderer with the biggest number of victims in the modern history of Slovakia."
Alfred Gaynor,United States,1995.0,1998.0,9.0,9.0,"Crack cocaine addict. Killed nine women in Massachusetts. Sentenced to life in prison on May 19, 2000."
Mark Goudeau,United States,2005.0,2006.0,9.0,9.0,"Known as ""The Baseline Killer""; convicted of nine murders in Phoenix, Arizona."
Keith Hunter Jesperson,United States,1990.0,1995.0,8.0,160.0,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation."
Rodney Alcala,United States,1971.0,1979.0,8.0,130.0,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher."
Ottis Toole,United States,1980.0,1983.0,8.0,112.0,"Initially convicted of three counts of murder, later pleaded guilty to four more murders before dying in prison. A sometime accomplice of convicted serial killer Henry Lee Lucas, Toole admitted to—and retracted multiple times—over 100 counts of murder, rape, arson and cannibalism, and was suspected in several other unsolved murders. In 2008, police announced that they had identified Toole as the likely murderer of Adam Walsh, and would be closing the case as a result."
Kiyotaka Katsuta,Japan,1982.0,1983.0,8.0,22.0,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000."
Joseph Paul Franklin,United States,1977.0,1980.0,8.0,20.0,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.
Pierre Chanal,France,1980.0,1988.0,8.0,17.0,Military instructor suspected of killing boys and men in Marne; killed himself before trial.
Christopher Wilder,United States,1984.0,1993.0,8.0,13.0,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.
Axeman of New Orleans,United States,1918.0,1919.0,8.0,12.0,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.
Vladimir Retunsky,Russia,1990.0,1996.0,8.0,12.0,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015."
Gilbert Paul Jordan,Canada,1965.0,1987.0,8.0,10.0,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006."
Frankford Slasher,United States,1985.0,1990.0,8.0,9.0,"Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large."
Kendall Francois,United States,1996.0,1998.0,8.0,9.0,"Admitted to killing eight sex workers in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute."
Hilda Nilsson,Sweden,1915.0,1917.0,8.0,8.0,"Known as the ""baby farming"" killer; she killed babies she received custody of by drowning them in a wash basin. Convicted for the murder of seven infants and the manslaughter of an eighth. She was the last Swede sentenced to death whose sentence was not commuted."
Yoshio Kodaira,"China, Japan",1932.0,1946.0,8.0,8.0,"A serial rapist, Kodaira killed his father-in-law in 1932 and seven to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949."
John Christie,United Kingdom,1943.0,1953.0,8.0,8.0,"Serial killer and alleged necrophile active during the 1940s and early 1950s. He murdered at least eight people—including his wife, Ethel—by strangling them in his flat at 10 Rillington Place, Notting Hill, London. The bodies of three of Christie's victims were found in a wallpaper-covered kitchen alcove soon after Christie moved out of Rillington Place during March 1953. The remains of two more victims were discovered in the garden, and his wife's body was found beneath the floorboards of the front room. Christie was arrested and convicted of his wife's murder, for which he was hanged."
Eric Edgar Cooke,Australia,1958.0,1963.0,8.0,8.0,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was the last person to be hanged in Western Australia."
Forest City Killer,Canada,1969.0,1970.0,8.0,8.0,"Unidentified serial killer from the late 1960s to early 1970s. Based on the number of unsolved murders of women in the era, there is probably at least one other victim."
John Edward Robinson,United States,1984.0,2000.0,8.0,8.0,"Known as ""The Slavemaster""; lured victims through the internet."
Bruce McArthur,Canada,2010.0,2017.0,8.0,8.0,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters."
Paul Ogorzow,Germany,1940.0,1941.0,8.0,8.0,"Known as the ""S-Bahn murderer""; SA sergeant convicted of raping and murdering eight women by throwing them off trains in Berlin during blackouts in 1941 and 1942. Executed by guillotine at the Plötzensee Prison on July 26, 1941."
Genzo Kurita,Japan,1948.0,1952.0,8.0,8.0,"Serial rapist and murderer, engaging in necrophilia in two of his murders. Two other victims were the children of the woman he targeted, who Kurita threw off a cliff (a third child survived). Hanged in 1959."
Marie Noe,United States,1949.0,1968.0,8.0,8.0,Murdered eight of her children between 1949 and 1968.
Kiyoshi Okubo,Japan,1971.0,1980.0,8.0,8.0,"Raped and murdered eight women aged 17 to 21 upon his release from prison, where he had been for previous rapes. Hanged in 1976."
Marybeth Tinning,United States,1972.0,1983.0,8.0,8.0,"Suffocated eight of her nine children during the 1970s. One daughter died of natural causes shortly after birth, the first of the Tinning children to die."
Michael Bruce Ross,United States,1981.0,1984.0,8.0,8.0,"Ross confessed to all of the murders, and was convicted of four of them. He was executed by the state of Connecticut on May 13, 2005 by lethal injection, making it the first execution in Connecticut and the whole of New England since 1960."
Gary C. Evans,United States,1985.0,1998.0,8.0,8.0,"Befriended the Son of Sam killer while incarcerated. Released in 1984, he proceeded to burglarize and kill while in and out of jails for over 13 years. Aided investigators in a high profile murder case before dodging parole and being chased. The manhunt finally ended when he jumped to his death off a bridge."
Colonial Parkway Killer,United States,1986.0,1989.0,8.0,8.0,Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead.
Sean Vincent Gillis,United States,1994.0,2003.0,8.0,8.0,"Kidnapped, raped, and mutilated the corpses of Louisiana women."
Vladimir Mukhankin,Russia,1995.0,1996.0,8.0,8.0,"Known as ""The pupil of Chikatilo""; he killed 8 women."
Manuel Delgado Villegas,"Spain, France, Italy",1964.0,1971.0,7.0,48.0,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998."
Ershad Sikder,Bangladesh,1991.0,1999.0,7.0,43.0,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convicted on seven counts and executed 2004.
Diego Alexánder Ruiz Restrepo,Chile,2018.0,2020.0,7.0,27.0,"Known as the ""Psycopath of Meiggs"". Illegal Colombian immigrant who has been living in Chile since 2013, often resorting to robbing and killing homeless people. Although he has had only 8 confirmed victims, he is currently being investigated for 20 more, which, if confirmed, would turn him into the most murderous serial killer in Chilean history."
Ivan Milat,Australia,1990.0,,7.0,30.0,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.
Reta Mays,United States,2017.0,2018.0,7.0,20.0,"Nursing assistant who killed elderly military veterans at a VA hospital in Clarksburg, West Virginia by injecting them with lethal doses of insulin."
Stockton serial shootings,United States,2021.0,2022.0,7.0,8.0,"On October 15, 2022, a Stockton man, Wesley Brownlee, was arrested in connection to the shootings."
Michael Wayne McGray,"Canada, United States",1985.0,1988.0,7.0,18.0,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010."
Łódź Gay Murderer,Poland,1988.0,1993.0,7.0,7.0,"Unidentified serial killer who killed gay men in Łódź, estimated to have killed 7 people."
John Floyd Thomas Jr.,United States,1957.0,2009.0,7.0,15.0,Serial murderer and rapist with one of the longest criminal careers in the US.
Kenneth Erskine,United Kingdom,1986.0,1995.0,7.0,11.0,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes."
David Carpenter,United States,1979.0,1981.0,7.0,11.0,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death."
Vladimir Kuzmin,Russia,1997.0,2006.0,7.0,11.0,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment."
Tommy Recco,France,1960.0,1980.0,7.0,10.0,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists."
Derrick Todd Lee,United States,2002.0,2011.0,7.0,10.0,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016."
Tomás Maldonado Cera,Colombia,2002.0,2018.0,7.0,10.0,"Known as ""The Satanist""; killed people in Barranquilla for the purpose of satanic rituals."
Peter Manuel,United Kingdom,1956.0,1958.0,7.0,9.0,"Hanged in 1958 after being convicted of seven murders at a sensational trial in Glasgow, may have committed two more."
Terry Blair,United States,1982.0,2004.0,7.0,9.0,Kansas City serial killer and rapist; active 1982–2004. Sentenced to life.
Doug Clark,United States,1980.0,1989.0,7.0,8.0,"Boiler operator who killed sex workers in Los Angeles. One of the ""Sunset Strip Killers""."
Stanisław Modzelewski,Poland,1952.0,1967.0,7.0,8.0,"Known as ""The Vampire of Gałkówek"". Confessed to strangling eight women, but convicted of seven because one of the bodies was never found."
Michael Hughes,United States,1986.0,1993.0,7.0,8.0,Killed six women and a schoolgirl in the South Los Angeles area between 1986 and 1993.
Santa Rosa Hitchhiker Killer,United States,1972.0,1973.0,7.0,7.0,"""Santa Rosa Hitchhiker Murders"": Series of at least seven unsolved homicides involving female hitchhikers that took place in Sonoma County and Santa Rosa of the North Bay area of California in 1972 and 1973."
